,id,weight,sex,education,region,age,income,job_prestige,mother_job_prestige,father_job_prestige,socioeconomic_index,satjob,relationship,male_breadwinner,men_bettersuited,child_suffer,men_overwork
243,244,0.9429971097,female,13.0,pacific,30.0,57832.5,32.0,25.0,,35.8,very satisfied,agree,agree,disagree,disagree,disagree
244,245,0.47149855479999997,female,14.0,pacific,22.0,4556.5,22.0,,49.0,17.5,a little dissat,strongly agree,strongly disagree,disagree,disagree,disagree
245,246,0.9429971097,female,12.0,pacific,24.0,,38.0,25.0,36.0,27.0,mod. satisfied,agree,disagree,disagree,disagree,disagree
246,247,0.9429971097,male,12.0,pacific,29.0,57832.5,24.0,25.0,,20.7,very satisfied,,,,,
247,248,0.47149855479999997,male,13.0,e. nor. central,70.0,31545.0,31.0,,37.0,37.6,,,,,,
248,249,0.47149855479999997,male,16.0,e. nor. central,34.0,,45.0,45.0,,62.0,,,,,,
249,250,0.9429971097,male,12.0,e. nor. central,66.0,158201.8412,69.0,,60.0,91.1,,agree,strongly disagree,disagree,,agree
250,251,0.47149855479999997,female,12.0,e. nor. central,84.0,9638.75,64.0,35.0,24.0,84.2,,,,,,
251,252,2.35896796,male,16.0,e. nor. central,37.0,158201.8412,35.0,61.0,43.0,32.0,mod. satisfied,strongly agree,disagree,disagree,strongly disagree,agree
252,253,0.9429971097,female,14.0,e. nor. central,61.0,11391.25,49.0,47.0,35.0,56.9,very satisfied,agree,disagree,disagree,disagree,disagree
253,254,0.47149855479999997,female,12.0,e. nor. central,58.0,9638.75,48.0,,,24.2,very satisfied,agree,strongly agree,disagree,disagree,neither agree nor disagree
254,255,0.47149855479999997,male,10.0,e. nor. central,88.0,7886.25,24.0,48.0,,20.7,,agree,agree,,disagree,disagree
255,256,3.3004898839999997,female,1.0,e. nor. central,80.0,,,,27.0,,mod. satisfied,strongly agree,agree,agree,agree,strongly agree
256,257,1.885994219,male,12.0,e. nor. central,36.0,98140.0,50.0,,31.0,46.5,a little dissat,,,,,
257,258,1.885994219,female,16.0,e. nor. central,33.0,38555.0,48.0,48.0,35.0,36.9,mod. satisfied,agree,strongly disagree,disagree,disagree,disagree
258,259,0.9429971097,male,16.0,e. nor. central,81.0,38555.0,50.0,16.0,60.0,57.4,,agree,agree,agree,disagree,disagree
259,260,1.885994219,male,12.0,e. nor. central,31.0,47317.5,44.0,30.0,38.0,36.4,very satisfied,agree,disagree,disagree,disagree,agree
260,261,0.9429971097,female,16.0,e. nor. central,69.0,112160.0,55.0,,60.0,77.2,,strongly agree,strongly disagree,disagree,strongly disagree,neither agree nor disagree
261,262,1.4144956640000002,male,16.0,e. nor. central,26.0,112160.0,38.0,64.0,59.0,43.0,a little dissat,,,,,
262,263,0.9429971097,male,16.0,e. nor. central,45.0,112160.0,45.0,61.0,35.0,62.0,mod. satisfied,strongly agree,strongly disagree,disagree,strongly disagree,strongly disagree
263,264,0.9429971097,female,16.0,e. nor. central,54.0,57832.5,47.0,,48.0,57.8,a little dissat,strongly agree,strongly disagree,disagree,strongly disagree,neither agree nor disagree
